name,rank,frequency
Corbett,1385,25154
Rouse,1386,25128
Rossi,1387,25108
Grady,1388,25079
Couch,1389,25074
Ott,1390,25045
Arevalo,1391,25031
Dewitt,1392,25012
Yanez,1393,24999
Garland,1394,24966
Aragon,1395,24937
Woodruff,1396,24934
Dasilva,1397,24905
Serna,1398,24846
Crabtree,1399,24808
Singer,1400,24788
Jean,1401,24740
Canales,1402,24681
Elmore,1403,24664
Roe,1404,24654
Machado,1405,24651
Stern,1406,24632
Weston,1407,24628
Samuel,1408,24616
Francisco,1409,24614
Shafer,1410,24605
Hutchins,1411,24600
Simons,1412,24590
Abrams,1413,24536
Daley,1414,24507
Smart,1414,24507
Emery,1416,24499
Battle,1417,24481
Vinson,1418,24417
Gleason,1419,24410
Mcclellan,1420,24392
Beatty,1421,24371
Herbert,1422,24361
Schumacher,1423,24358
Givens,1424,24350
Worley,1425,24345
Seymour,1426,24319
Plummer,1427,24308
Thomson,1427,24308
Rosenberg,1429,24305
Ervin,1430,24250
Vela,1431,24228
Hutchison,1432,24214
Albright,1433,24202
Eldridge,1434,24175
Uribe,1435,24173
Blue,1436,24162
Ziegler,1437,24112
Solano,1438,24102
Nix,1439,24093
Swartz,1440,24070
Greenwood,1441,24066
Gregg,1442,24054
Swain,1443,24047
Edmonds,1444,24037
Pagan,1445,24020
Leslie,1446,24015
Schafer,1447,24003
Brandon,1448,23986
Quick,1449,23981
Curran,1450,23943
Reynoso,1450,23943
Gore,1452,23940
Tipton,1453,23933
Griggs,1454,23918
Lowry,1454,23918
Helton,1456,23871
Reece,1457,23834
Yarbrough,1458,23825
Hidalgo,1459,23791
Akers,1460,23773
Bustamante,1461,23741
Groves,1462,23737
Hoskins,1463,23730
Ackerman,1464,23716
Tomlinson,1465,23710
Quintanilla,1466,23700
Fish,1467,23685
Swift,1468,23678
Childress,1469,23642
Mayes,1470,23637
Padgett,1471,23628
Manley,1472,23615
Coffman,1473,23609
Anaya,1474,23605
Angel,1475,23588
Lund,1476,23550
Heller,1477,23521
Schmitz,1478,23516
Kurtz,1479,23509
Mcelroy,1479,23509
Meredith,1481,23456
Burrell,1482,23451
Tolbert,1483,23449
Benavides,1484,23443
Crow,1485,23432
Field,1486,23423
Elkins,1487,23416
Schulz,1488,23413
Prado,1489,23397
Tatum,1490,23395
Mohammed,1491,23378
Draper,1492,23360
Clifton,1493,23350
Funk,1494,23348
Sanderson,1495,23313
Navarrete,1496,23279
Bowden,1497,23246
Stover,1497,23246
Metcalf,1499,23245
Bloom,1500,23202
Gunter,1501,23190
Poe,1502,23182
Aleman,1503,23179
Olivares,1504,23163
Mccauley,1505,23117
Montalvo,1506,23112
Holbrook,1507,23103
Mcghee,1508,23091
Teague,1509,23089
Walden,1510,23046
Crowder,1511,23042
Buckner,1512,23041
Crockett,1513,23014
Mckinley,1513,23014
Whalen,1515,22998
Cabral,1516,22994
Shin,1517,22958
Desai,1518,22954
Blanton,1519,22938
Matos,1520,22885
Tompkins,1521,22884
Devine,1522,22877
Kauffman,1523,22869
Gunn,1524,22857
Driscoll,1525,22852
Chappell,1526,22833
Newsome,1527,22832
Gee,1528,22826
Hollingsworth,1529,22814
Shapiro,1530,22812
Crews,1531,22811
Nance,1532,22809
Clement,1533,22799
Stroud,1534,22794
Steiner,1535,22741
Goldman,1536,22740
Dooley,1537,22735
Kay,1538,22730
Souza,1538,22730
Inman,1540,22714
Coates,1541,22700
Kimball,1542,22663
Amador,1543,22652
Drew,1544,22649
Larkin,1544,22649
Mcmanus,1546,22638
Doan,1547,22632
Conklin,1548,22618
Payton,1549,22613
Pritchard,1550,22612
Amos,1551,22595
Crouch,1552,22587
Ahmad,1553,22586
Dubois,1554,22571
Heard,1555,22548
Masters,1556,22542
Post,1557,22541
Samuels,1558,22517
Maher,1559,22504
Lord,1560,22488
Rainey,1561,22458
Ivey,1562,22405
Phipps,1563,22387
Jewell,1564,22347
Horner,1565,22320
Cuellar,1566,22319
Neely,1567,22316
Feliciano,1568,22312
Egan,1569,22300
Bowles,1570,22282
Pollock,1570,22282
Swenson,1572,22252
Bullard,1573,22249
Rubin,1574,22248
Thurman,1575,22239
Hagen,1576,22194
Pimentel,1577,22193
Swan,1578,22182
Coker,1579,22174
Jeffries,1580,22137
Browne,1581,22128
Goins,1582,22125
Polanco,1583,22121
Brito,1584,22096
Barragan,1585,22090
Marrero,1586,22069
Connelly,1587,22062
Biggs,1588,22057
Feldman,1589,22047
Stratton,1590,22029
Lacy,1591,22007
Wesley,1592,21988
Forrest,1593,21977
Rodriquez,1594,21973
Otto,1595,21938
Gao,1596,21908
Neff,1597,21891
Aldridge,1598,21882
Erwin,1599,21816
Pinto,1600,21810
Betancourt,1601,21800
Hinkle,1602,21791
Godwin,1603,21784
Self,1604,21783
Dickey,1605,21766
Butcher,1606,21742
Oleary,1607,21735
Yeager,1608,21729
Colbert,1609,21720
Gallo,1610,21711
Ornelas,1611,21680
Casillas,1612,21643
Whaley,1613,21613
Colvin,1614,21611
Lai,1614,21611
Winn,1616,21605
Otero,1617,21599
Valdes,1617,21599
Milligan,1619,21548
Purcell,1620,21538
Dunham,1621,21528
Connell,1622,21526
Sprague,1623,21468
Tellez,1624,21449
Ojeda,1625,21443
Grimm,1626,21420
Sheridan,1627,21412
Piper,1628,21405
Mead,1629,21404
Mai,1630,21383
Esposito,1631,21379
Sewell,1632,21368
Norwood,1633,21360
Butts,1634,21337
Boswell,1635,21336
Snell,1636,21329
Huggins,1637,21328
Temple,1638,21324
Davison,1639,21313
Hadley,1640,21312
Ybarra,1641,21303
Thorpe,1642,21301
Steward,1643,21293
Dukes,1644,21291
Blackmon,1645,21281
Alonzo,1646,21256
Meade,1647,21247
Carbajal,1648,21237
Ludwig,1649,21232
Dodge,1650,21224
Silver,1651,21205
Wolff,1652,21203
Galvez,1653,21202
Lujan,1654,21200
Valadez,1655,21166
Engel,1656,21158
Dahl,1657,21156
Redmond,1658,21153
Arrington,1659,21150
Clifford,1659,21150
Billings,1661,21138
Winkler,1662,21114
Cartwright,1663,21099
Jarrett,1663,21099
Bunch,1665,21097
Ames,1666,21085
Koenig,1667,21084
Vickers,1668,21083
Stahl,1669,21078
Lilly,1670,21065
Ohara,1671,21059
Doss,1672,21057
Godinez,1673,21049
Abreu,1674,21032
Goode,1675,21021
Link,1676,21010
Mcdonough,1677,21005
Regan,1678,21004
Healy,1679,20992
Hand,1680,20967
Rosen,1681,20943
Babcock,1682,20932
Bragg,1683,20924
Hammer,1684,20909
Na,1685,20876
Sherwood,1686,20857
Dinh,1687,20854
Kraft,1688,20829
Ramey,1689,20768
Painter,1690,20744
Geiger,1691,20742
Bolden,1692,20739
Peacock,1693,20726
Oliveira,1694,20721
Diamond,1695,20714
Palma,1696,20693
Kilgore,1697,20691
Winston,1697,20691
Escalante,1699,20688
Guo,1700,20672
Grove,1701,20662
Leung,1702,20651
Block,1703,20636
Muhammad,1704,20614
Miner,1705,20585
Sadler,1706,20578
Jorgensen,1707,20571
Lima,1708,20554
Voss,1709,20531
Gary,1710,20528
Thacker,1711,20511
Hoyt,1712,20500
Batista,1713,20478
Begum,1714,20473
Latham,1715,20465
Ash,1716,20463
Mcgraw,1717,20444
Bower,1718,20433
Brantley,1719,20397
Cote,1720,20395
Metzger,1721,20392
Ha,1722,20388
Delossantos,1723,20382
Arreola,1724,20342
Major,1725,20326
Stanford,1726,20320
Spivey,1727,20286
Hager,1728,20274
Lovell,1729,20267
Patino,1730,20245
Sotelo,1731,20244
Beaver,1732,20220
Willard,1733,20179
Stiles,1734,20164
Milton,1735,20138
Zarate,1735,20138
Finn,1737,20121
Cahill,1738,20098
Carlton,1739,20083
Irvin,1739,20083
Gagnon,1741,20069
Platt,1742,20052
Tidwell,1743,20043
Henley,1744,20025
Guidry,1745,20021
Mena,1746,20019
Marroquin,1747,20017
Sepulveda,1748,20005
Dugan,1749,20002
Waddell,1750,20000
Yee,1751,19997
Venegas,1752,19986
Hurt,1753,19980
Raines,1754,19971
Valentin,1755,19963
Maurer,1756,19959
Siegel,1757,19939
Hagan,1758,19932
Coulter,1759,19931
Holliday,1760,19927
Rai,1760,19927
Cornell,1762,19884
Araujo,1763,19837
Tripp,1764,19818
Houser,1765,19816
Kruse,1766,19807
Starks,1767,19797
Timmons,1768,19778
Lanier,1769,19774
Escamilla,1770,19757
Linares,1771,19755
Land,1772,19752
Crump,1773,19736
Ferris,1774,19733
Ordonez,1774,19733
Schaffer,1776,19727
Sheets,1777,19718
Cummins,1778,19717
Argueta,1779,19715
Mcneal,1780,19705
Westbrook,1781,19701
Bassett,1782,19694
Pedersen,1783,19674
Carlisle,1784,19643
Deal,1785,19638
Toledo,1786,19619
Eubanks,1787,19604
Sapp,1788,19589
Cheung,1789,19577
Cullen,1790,19574
Prieto,1791,19560
Gamboa,1792,19553
Posey,1793,19551
Beal,1794,19542
Mcmullen,1795,19534
Paige,1796,19531
Hurd,1797,19527
Fontenot,1798,19523
Hilliard,1799,19517
Stoltzfus,1800,19505
Castle,1801,19501
Root,1801,19501
Mcwilliams,1803,19487
Jain,1804,19471
Kearney,1805,19464
Rendon,1806,19447
Caruso,1807,19441
Oh,1808,19434
Gipson,1809,19433
Ledesma,1810,19428
Coyle,1811,19425
Hackett,1812,19423
Greenberg,1813,19404
Bergeron,1814,19366
Metz,1815,19348
Washburn,1816,19341
Hargrove,1817,19336
Benoit,1818,19331
Street,1819,19330
Troyer,1820,19326
Thomason,1821,19320
Fernandes,1822,19301
Hankins,1823,19293
Murdock,1824,19275
Mcqueen,1825,19265
Roper,1826,19255
Negron,1827,19249
Cornelius,1828,19242
Farr,1829,19233
Olivas,1830,19217
Hannah,1831,19206
Wilhelm,1832,19198
Oliva,1833,19181
Hightower,1834,19177
Fountain,1835,19176
Lo,1836,19169
North,1837,19164
Isaac,1838,19157
Barnard,1839,19152
Christiansen,1840,19147
Sizemore,1841,19137
Lockwood,1842,19127
Hussain,1843,19121
Yi,1844,19112
Trotter,1845,19078
Arce,1846,19065
Saavedra,1847,19063
Stubbs,1848,19050
Smiley,1849,19041
Mccollum,1850,19037
Messer,1851,19034
Urban,1851,19034
Blount,1853,19017
Crocker,1854,19016
Hwang,1855,19009
Vallejo,1856,18999
Dick,1857,18994
Arteaga,1858,18987
Keenan,1859,18965
Carmichael,1860,18958
Mehta,1861,18945
Connors,1862,18918
Epps,1863,18900
Betts,1864,18891
Langston,1865,18883
Penn,1866,18879
Brewster,1867,18855
Duvall,1868,18849
Boucher,1869,18845
Mcneill,1870,18829
Rushing,1871,18817
Rudolph,1872,18807
Lorenzo,1873,18804
Casas,1874,18802
Barnhart,1875,18790
Eddy,1876,18785
Vidal,1877,18771
Mims,1878,18754
Aranda,1879,18739
Gaston,1880,18733
Gifford,1881,18730
Barrientos,1882,18699
Burger,1882,18699
Pritchett,1884,18698
Rock,1885,18692
Dobson,1886,18670
Dong,1887,18669
Gold,1888,18661
Paulson,1889,18659
Melvin,1890,18641
Allred,1891,18639
Barbosa,1892,18634
Alarcon,1893,18631
Keys,1894,18623
Goodrich,1895,18599
Lay,1896,18585
Hinson,1897,18581
Pulido,1898,18572
Cronin,1899,18559
Sheffield,1900,18548
Shipley,1901,18543
Chowdhury,1902,18535
Napier,1902,18535
Wiseman,1904,18529
Layton,1905,18508
Whitman,1905,18508
Koehler,1907,18481
Malik,1908,18478
Tackett,1909,18453
Salcedo,1910,18448
Lopes,1911,18435
Ledbetter,1912,18433
Langford,1913,18430
Toth,1914,18420
Hsu,1915,18414
Medeiros,1916,18407
Weir,1917,18392
Brand,1918,18390
Reeder,1919,18375
Herndon,1920,18373
Yost,1921,18365
Cody,1922,18338
Prater,1923,18336
Roche,1924,18333
Shen,1925,18330
Sheldon,1926,18325
Hyatt,1927,18300
Ricks,1927,18300
Nowak,1929,18297
Pettit,1930,18281
Crespo,1931,18277
Story,1932,18276
Fitch,1933,18247
Darling,1934,18195
Zaragoza,1935,18170
Mast,1936,18168
Spaulding,1937,18164
Jacobsen,1938,18160
Levin,1939,18142
Mccracken,1939,18142
Roland,1941,18139
Lovett,1942,18125
Mcclendon,1943,18124
Diehl,1944,18120
Peoples,1945,18104
Thorne,1946,18097
Mondragon,1947,18092
Queen,1948,18077
Adair,1949,18053
Ogden,1950,18045
Darby,1951,18041
Sylvester,1952,18019
Landis,1953,18001
Bateman,1954,17995
Sands,1955,17989
Trinh,1956,17984
Caudill,1957,17982
Trent,1958,17979
Luu,1959,17974
Lacey,1960,17963
Engle,1961,17961
Banuelos,1962,17951
Chavarria,1963,17946
Espinal,1964,17941
Kraus,1965,17934
Arriaga,1966,17928
Mansfield,1967,17921
Hanley,1968,17920
Stacy,1968,17920
Ernst,1970,17888
Bello,1971,17887
Ferrer,1972,17881
Pack,1973,17869
Almeida,1974,17836
Mchugh,1975,17833
Najera,1976,17798
Chau,1977,17795
Moya,1978,17789
Dietz,1979,17786
Burkett,1980,17785
Toney,1981,17770
Youngblood,1982,17755
Ledford,1983,17751
Overton,1983,17751
Mccain,1985,17744
Richey,1986,17729
Hawley,1987,17716
Zambrano,1988,17711
Pan,1989,17709
Stapleton,1989,17709
Friend,1991,17697
Hathaway,1992,17689
Spicer,1993,17682
Beyer,1994,17673
Sumner,1995,17669
Fong,1996,17667
Haywood,1997,17659
Wilkes,1998,17653
Presley,1999,17640
Montero,2000,17639
Rizzo,2001,17631
Fair,2002,17628
Locklear,2003,17618
Laird,2004,17617
Bledsoe,2005,17610
Christie,2006,17609
Rhoades,2007,17603
Smallwood,2008,17601
Cope,2009,17599
Hoffmann,2009,17599
Abel,2011,17596
Tobin,2012,17588
Dobbs,2013,17572
Gillis,2014,17570
Hutton,2015,17542
Judd,2016,17539
Islam,2017,17534
Bryson,2018,17531
Vogt,2019,17520
Bergman,2020,17517
Mcrae,2021,17483
Putnam,2022,17473
Addison,2023,17465
Cates,2024,17441
Grover,2024,17441
Woody,2026,17436
Flaherty,2027,17426
Waite,2028,17416
Bueno,2029,17395
Mathew,2030,17393
Spangler,2031,17391
Longoria,2032,17383
Landers,2033,17381
Su,2034,17377
Hedrick,2035,17363
Luke,2036,17362
Cornejo,2037,17358
Kimble,2038,17349
Barraza,2039,17333
Dill,2040,17312
Capps,2041,17310
Drummond,2042,17285
Kincaid,2043,17274
Doty,2044,17273
Omalley,2045,17272
Varner,2046,17266
Crenshaw,2047,17257
Triplett,2048,17244
Heredia,2049,17224
Henriquez,2050,17220
Shi,2051,17207
Chow,2052,17205
Covarrubias,2053,17198
Madsen,2054,17190
Hay,2055,17186
Corcoran,2056,17162
Hope,2057,17147
Alcala,2058,17140
Roque,2059,17108
Cavazos,2060,17098
Oakes,2061,17086
Her,2062,17085
Ashby,2063,17084
Crum,2064,17064
Humphries,2065,17059
Dickens,2066,17052
Moreland,2067,17049
Frias,2068,17048
Kiser,2069,17047
Shearer,2070,17031
Fagan,2071,17025
Lackey,2072,17019
Staley,2073,17009
Corley,2074,16977
Mccord,2075,16968
Cavanaugh,2076,16961
Hawk,2077,16951
Keen,2078,16948
Albrecht,2079,16926
Whittaker,2080,16912
Kyle,2081,16906
Cerda,2082,16899
Mohr,2083,16895
Akins,2084,16889
Culver,2085,16876
Champion,2086,16858
Paris,2087,16831
Bauman,2088,16828
Calvert,2089,16821
Waldron,2090,16809
Skaggs,2091,16807
Busch,2092,16802
Neumann,2093,16792
Dumas,2094,16780
Mccormack,2095,16770
Marcus,2096,16763
Mclain,2097,16762
Pelletier,2098,16759
Whittington,2099,16745
Okeefe,2100,16730
Rincon,2101,16729
Bain,2102,16721
Kowalski,2102,16721
Yoon,2104,16719
Yan,2105,16716
Atwood,2106,16708
Delong,2107,16692
Mallory,2108,16690
Blum,2109,16689
Granger,2110,16684
Crain,2111,16683
Munson,2112,16666
Luong,2113,16649
Hanks,2114,16648
Moseley,2115,16633
Schuster,2116,16614
Currie,2117,16609
Burrows,2118,16606
Eason,2119,16603
Aldrich,2120,16600
Vernon,2121,16596
Bernstein,2122,16594
Oakley,2123,16588
Flood,2124,16576
Staples,2125,16569
Tamayo,2126,16559
Barrow,2127,16556
Zimmer,2128,16541
Jeffers,2129,16537
Boykin,2130,16531
Ceja,2131,16529
Francois,2132,16522
Woodson,2132,16522
Shultz,2134,16519
Darnell,2135,16514
Hoff,2135,16514
Mott,2135,16514
Bagley,2138,16512
Acuna,2139,16503
Hobson,2139,16503
Dias,2141,16494
Eckert,2141,16494
Kenny,2143,16474
Ransom,2144,16469
Aponte,2145,16468
Vandyke,2146,16461
Bellamy,2147,16458
Burroughs,2147,16458
Cagle,2149,16454
Read,2150,16452
Prescott,2151,16446
Keene,2152,16443
Tejada,2152,16443
Quigley,2154,16435
Hershberger,2155,16422
Hooks,2156,16401
Jansen,2157,16395
Michaels,2158,16387
Hirsch,2159,16386
Moua,2160,16379
Gerber,2161,16365
Schulte,2162,16361
Feng,2163,16357
Mcgovern,2164,16354
Greco,2165,16346
Grayson,2166,16326
Rooney,2167,16309
Denny,2168,16304
Sneed,2169,16298
Crandall,2170,16289
Haskins,2171,16281
Grossman,2172,16269
Dutton,2173,16262
Dupree,2174,16254
Eastman,2175,16251
Stringer,2176,16244
Schwab,2177,16238
Ulrich,2178,16235
Stallings,2179,16232
Light,2180,16231
Benedict,2181,16229
Whitt,2182,16228
Kohler,2183,16227
Mireles,2183,16227
Brunson,2185,16226
Carrera,2186,16224
Cottrell,2187,16222
Keating,2188,16220
Bustos,2189,16218
Finney,2190,16215
Luo,2191,16214
Ambrose,2192,16202
Crowell,2193,16195
Byler,2194,16191
Nevarez,2195,16184
Ham,2196,16183
Orourke,2197,16179
Duff,2198,16177
Cormier,2199,16174
Adamson,2200,16141
Knutson,2201,16131
Whitlock,2202,16129
Stauffer,2203,16107
Whiting,2204,16104
Coon,2205,16102
Huddleston,2206,16084
Xie,2207,16076
Hostetler,2208,16060
Shaver,2209,16035
Lunsford,2210,16027
Malloy,2211,16024
Stovall,2212,16018
Bartley,2213,16016
Montanez,2214,16015
Calloway,2215,16008
Jaimes,2216,15991
Maguire,2216,15991
Hawthorne,2218,15989
Naylor,2219,15979
Purvis,2220,15975
Gauthier,2221,15970
Keyes,2222,15967
Mcnair,2223,15951
Adame,2224,15949
Adler,2224,15949
Call,2226,15946
Baum,2227,15941
Jin,2228,15932
Pickens,2229,15919
Lincoln,2230,15912
Coe,2231,15911
Dow,2232,15891
Alaniz,2233,15890
Burnette,2234,15862
Ruffin,2235,15856
Fajardo,2236,15830
Comer,2237,15829
Conroy,2238,15823
Huston,2239,15822
Holguin,2240,15820
Doran,2241,15812
Hamlin,2242,15805
Thayer,2243,15779
Altman,2244,15776
Rider,2245,15764
Weller,2246,15748
Nunn,2247,15738
Naranjo,2248,15723
Corral,2249,15721
German,2250,15717
Baer,2251,15713
Dowling,2252,15710
Joiner,2253,15703
Foote,2254,15702
Giron,2254,15702
Rosenthal,2256,15700
Nugent,2257,15695
Pendleton,2258,15691
Parr,2259,15676
Urbina,2260,15674
Barney,2261,15671
Hairston,2262,15663
Mcnally,2263,15658
Henning,2264,15657
Cazares,2265,15648
Abernathy,2266,15633
Balderas,2267,15631
Vergara,2268,15629
Farias,2269,15627
Honeycutt,2270,15626
Ennis,2271,15623
Schrader,2272,15620
Giordano,2273,15616
Clinton,2274,15615
Chadwick,2275,15601
Arnett,2276,15594
Goldsmith,2277,15580
Schreiber,2277,15580
Valdivia,2279,15579
Schilling,2280,15578
London,2281,15576
Ye,2281,15576
Ontiveros,2283,15573
Anguiano,2284,15571
Boudreaux,2285,15562
Gage,2285,15562
Means,2287,15527
Baron,2288,15523
Willoughby,2289,15522
Ladd,2290,15506
Dozier,2291,15501
Schwarz,2292,15497
Espino,2293,15493
Kong,2293,15493
Hooker,2295,15488
Elizondo,2296,15475
Chong,2297,15474
Adam,2298,15473
Perdue,2299,15459
Sousa,2300,15447
Woodall,2301,15442
Dietrich,2302,15435
Marcum,2303,15429
Rader,2304,15423
Dawkins,2305,15422
Cleary,2306,15419
Torrez,2307,15406
Deluca,2308,15405
Trimble,2309,15399
Stoner,2310,15390
Reddy,2311,15378
Earl,2312,15377
Joshi,2313,15373
Ceballos,2314,15364
Brannon,2315,15360
Bynum,2316,15357
Easley,2317,15347
Saldivar,2318,15341
Begay,2319,15329
Rowley,2320,15325
Hayward,2321,15321
Boston,2322,15314
Hare,2323,15310
Seals,2324,15308
Stjohn,2325,15306
Son,2326,15288
Chapa,2327,15270
Saylor,2328,15234
Kinsey,2329,15228
Sams,2330,15216
Reagan,2331,15210
Laughlin,2332,15207
Helm,2333,15201
Pappas,2334,15199
Chatman,2335,15197
Talbot,2335,15197
Royal,2337,15194
Carlos,2338,15191
Jernigan,2339,15186
Coley,2340,15180
Burkhart,2341,15171
Felton,2342,15157
Burnham,2343,15147
Tejeda,2344,15142
Jack,2345,15141
Mccloud,2345,15141
Wray,2347,15139
Titus,2348,15137
Solorzano,2349,15128
Berman,2350,15127
Sorenson,2351,15125
Wetzel,2352,15097
Briones,2353,15092
Lyles,2354,15085
Mattson,2355,15084
Busby,2356,15083
Saleh,2356,15083
Falcon,2358,15078
Mcgregor,2358,15078
Douglass,2360,15066
Mock,2361,15065
Prather,2362,15059
Rao,2363,15053
Coats,2364,15044
Brenner,2365,15042
Faust,2366,15035
Rowell,2367,15026
Jolly,2368,15025
Mateo,2369,15024
Reaves,2370,15020
Cheek,2371,15013
Antonio,2372,15009
Kellogg,2373,15002
Fenton,2374,14999
Driver,2375,14998
Burr,2376,14993
Hutson,2376,14993
Gale,2378,14988
Bruner,2379,14972
Alves,2380,14971
Hogue,2381,14965
Parham,2381,14965
Brunner,2383,14954
Goodson,2384,14951
Shook,2385,14948
Scruggs,2386,14944
Mosher,2387,14932
Watt,2388,14923
Iverson,2389,14900
Tilley,2390,14894
Nickerson,2391,14890
Schaeffer,2391,14890
Anders,2393,14889
Ring,2394,14879
Hinds,2395,14861
Grubbs,2396,14850
Redding,2397,14830
Bartholomew,2398,14811
Craven,2399,14810
Cornett,2400,14807
Cutler,2401,14800
Griffiths,2401,14800
Borden,2403,14797
Burk,2404,14779
Banda,2405,14776
Goddard,2406,14774
Mojica,2406,14774
Beavers,2408,14768
Tong,2409,14765
Monroy,2410,14756
Whitmore,2411,14735
Aaron,2412,14733
Vann,2413,14718
Guillory,2414,14710
Nagy,2415,14706
Hillman,2416,14693
Ruff,2417,14687
Tabor,2418,14680
Mattingly,2419,14672
Robledo,2420,14669
Irizarry,2421,14667
Hauser,2422,14658
Mckinnon,2423,14634
Lind,2424,14609
Wei,2425,14591
Hough,2426,14583
Julian,2427,14572
Leone,2428,14562
Leary,2429,14558
Power,2430,14550
Shipman,2431,14539
Russ,2432,14521
Centeno,2433,14512
Collazo,2434,14511
Monahan,2435,14509
Lombardo,2436,14506
Rea,2437,14490
Merchant,2438,14486
Negrete,2439,14482
Thurston,2439,14482
Tinsley,2441,14443
Beckman,2442,14432
Dent,2443,14430
Kerns,2444,14427
Isaacs,2445,14413
Skelton,2446,14405
Mota,2447,14402
Ireland,2448,14401
Horvath,2449,14389
Pantoja,2450,14387
Gannon,2451,14383
Flint,2452,14382
Dowell,2453,14374
Gurung,2454,14369
Purdy,2455,14349
Sarmiento,2456,14344
Brower,2457,14338
Puente,2458,14336
Jacques,2459,14333
Irving,2460,14329
Baumann,2461,14328
Amin,2462,14315
Ko,2463,14312
Gaytan,2464,14298
Sauer,2465,14294
Stclair,2466,14292
Mares,2467,14291
Kwon,2468,14256
Hummel,2469,14245
Delgadillo,2470,14243
Durbin,2471,14238
Unger,2472,14234
Kahn,2473,14232
Pyle,2474,14226
Waggoner,2475,14202
Dobbins,2476,14197
Hearn,2477,14195
Lentz,2478,14194
Beebe,2479,14184
Sebastian,2480,14178
Lira,2481,14173
Strange,2482,14165
Ruth,2483,14156
Perales,2484,14154
Meehan,2485,14152
Lundy,2486,14148
Lemon,2487,14147
Almonte,2488,14146
Wagoner,2489,14145
Hasan,2490,14144
Garay,2491,14136
Loomis,2492,14134
Fay,2493,14132
Fang,2494,14128
Mulligan,2495,14123
Corey,2496,14106
Salmon,2497,14081
Michaud,2498,14078
Noriega,2499,14076
Way,2500,14074
Bliss,2501,14056
Kearns,2502,14053
Lawler,2503,14051
Wakefield,2504,14049
Fournier,2505,14028
Cloud,2506,14021
Mahan,2507,14013
Echols,2508,14005
Conn,2509,13987
Daigle,2510,13985
Starkey,2511,13983
Laws,2512,13976
Syed,2513,13973
Wilburn,2514,13969
Priest,2515,13964
Bowser,2516,13963
Yoo,2517,13956
Lor,2518,13954
Grubb,2519,13945
Stearns,2520,13938
Deng,2521,13934
Schuler,2522,13933
Fierro,2523,13932
Diggs,2524,13925
Farrar,2524,13925
Ulloa,2526,13923
Randle,2527,13922
Almanza,2528,13920
Dove,2529,13918
Lorenz,2530,13913
Coles,2531,13912
Joy,2532,13910
Zelaya,2533,13901
Coughlin,2534,13898
Gentile,2535,13884
Oswald,2536,13878
Chavis,2537,13876
Tobias,2538,13875
Ryder,2539,13874
Parnell,2540,13860
Stoddard,2541,13856
Worthington,2542,13855
Meek,2543,13843
Devries,2544,13839
Salter,2544,13839
Grey,2546,13822
Mcdonnell,2546,13822
Dennison,2548,13817
Limon,2548,13817
Demarco,2550,13816
Kitchen,2551,13815
Boles,2552,13812
Estrella,2553,13808
Linton,2554,13801
Chester,2555,13798
Dao,2555,13798
Myles,2557,13774
Rudd,2557,13774
Armenta,2559,13764
Vue,2560,13761
Harman,2561,13758
Augustine,2562,13755
Marion,2562,13755
Reardon,2564,13754
Duenas,2565,13753
Resendiz,2566,13750
Angeles,2567,13747
Crook,2568,13742
Newcomb,2569,13736
Knott,2570,13734
Mark,2571,13732
Parish,2571,13732
Yazzie,2573,13728
Roldan,2574,13721
Trinidad,2575,13705
Beam,2576,13696
Pederson,2577,13694
Shelley,2577,13694
Alcantara,2579,13687
Barbour,2580,13686
Chiu,2580,13686
Silverman,2582,13685
Hussein,2583,13676
Donohue,2584,13667
Barger,2585,13658
Handy,2586,13656
Winslow,2587,13648
Clemens,2588,13645
Carnes,2589,13638
Moeller,2590,13633
High,2591,13632
Nagel,2592,13616
Rapp,2593,13612
Chance,2594,13598
Arndt,2595,13597
Callaway,2596,13591
Roark,2596,13591
Gruber,2598,13575
Herrington,2599,13574
Lockett,2600,13559
Ellsworth,2601,13557
Vanhorn,2601,13557
Kelsey,2603,13536
Staton,2604,13535
Barth,2605,13528
Valerio,2606,13525
Mayberry,2607,13521
Mcmahan,2608,13514
Pfeiffer,2609,13503
Gant,2610,13500
Male,2611,13499
Briscoe,2612,13489
Maier,2613,13479
Lombardi,2614,13474
Kilpatrick,2615,13473
Baughman,2616,13471
Humphreys,2617,13462
Trahan,2617,13462
Grier,2619,13460
Weldon,2620,13452
Mackenzie,2621,13446
Mcclelland,2622,13444
Elam,2623,13441
Vick,2624,13437
Soria,2625,13436
Rowan,2626,13418
Caraballo,2627,13407
Estep,2627,13407
Ogle,2629,13405
Abdi,2630,13403
Squires,2631,13398
Weathers,2632,13396
Tirado,2633,13380
Fairchild,2634,13371
Hills,2634,13371
Storey,2636,13360
Kruger,2637,13356
Salvador,2638,13352
Guardado,2639,13350
Lovelace,2640,13343
Heck,2641,13341
Morrissey,2642,13333
Early,2643,13316
Starnes,2644,13312
Mesa,2645,13306
Lofton,2646,13295
Concepcion,2647,13289
Burdick,2648,13285
Berrios,2649,13283
Villasenor,2649,13283
Cai,2651,13276
Creech,2652,13268
Mcnulty,2653,13263
Dykes,2654,13242
Blackman,2655,13241
Tierney,2656,13238
Stump,2657,13235
Deaton,2658,13233
Tam,2659,13232
Caceres,2660,13226
Tavares,2660,13226
Higginbotham,2662,13224
Upton,2662,13224
Ouellette,2664,13222
Alba,2665,13218
Ivy,2665,13218
