name,rank,frequency
Miranda,330,93203
Wade,331,93102
Hopkins,332,92924
Beck,333,91948
Chambers,334,91795
Stanley,335,91375
Deleon,336,91364
Barnett,337,91163
Ayala,338,91108
Bates,339,91057
Caldwell,340,90100
Lowe,341,89696
Lambert,342,89460
Frazier,343,88963
Schwartz,344,88948
Duran,345,88415
Byrd,346,88388
Powers,347,88252
Neal,348,87995
Craig,349,87675
Fleming,350,86848
Sutton,351,86836
Leonard,352,86736
Rhodes,353,86574
Carrillo,354,86513
Cohen,355,86401
Jennings,356,86271
Cabrera,357,85945
Moran,358,85840
Shelton,359,85839
Gregory,360,85781
Watts,361,85754
Leon,362,85611
Steele,363,85371
Norris,364,84956
Mcdaniel,365,84533
Ali,366,84529
Becker,367,84525
Parks,368,84327
Barker,369,83987
Vaughn,370,83826
Love,371,83691
Terry,372,83406
Chang,373,83382
Lara,374,83110
Hale,375,83103
Haynes,376,83022
Fuentes,377,82907
Benson,378,82707
Miles,379,82573
Holt,380,82517
Mann,381,82479
Zimmerman,382,82459
Lyons,383,81507
Chan,384,81431
Robles,385,81059
Dawson,386,80960
Horton,387,80807
Wolfe,388,80540
Graves,389,80533
Salinas,390,80378
Mckinney,391,80343
Solis,392,80233
Bush,393,80122
Warner,394,80118
Mccarthy,395,80108
Paul,396,80097
Fletcher,397,79835
Klein,398,79552
Reeves,399,79326
Page,400,79314
Rivas,401,78862
Erickson,402,78808
Simon,403,78701
Cervantes,404,78517
Velasquez,405,78234
Francis,406,78198
Daniel,407,78123
Ochoa,408,77931
Hardy,409,77922
Thornton,410,77910
Baldwin,411,77881
Pacheco,412,76943
Shah,413,76855
Aguirre,414,76796
Calderon,415,76428
Oconnor,416,76316
Delacruz,417,76225
Cummings,418,76172
Serrano,419,76051
Ball,420,76008
Cardenas,421,75996
Higgins,422,75781
Bowen,423,75672
Gill,424,75535
Griffith,425,75478
Sharp,426,75463
Robbins,427,75400
Blair,428,75384
Quinn,429,75251
Barber,430,75161
Kaur,431,75046
Cross,432,75035
Rosales,433,74769
Ramsey,434,74666
Christensen,435,74664
Moss,436,74470
Ahmed,437,74458
Dennis,438,74379
Swanson,439,74015
Chandler,440,73879
Rodgers,441,73646
Fitzgerald,442,72557
Curry,443,72444
Roman,444,72391
Stevenson,445,72286
Mclaughlin,446,71961
Doyle,447,71863
Manning,448,71809
Garner,449,71498
Blake,450,71425
Walton,451,71361
Newton,452,71351
Mcgee,453,71307
Reese,454,71141
Gross,455,70852
Burgess,456,70718
Montoya,457,70671
Franco,458,70637
Harmon,459,70550
Fischer,460,70511
Trujillo,461,70403
Adkins,462,70363
Person,463,70174
Webster,464,70161
Brady,465,70047
Clarke,466,70011
Wolf,467,69917
Mack,468,69776
Goodman,469,69577
Colon,470,68998
Potter,471,68997
Goodwin,472,68963
Suarez,473,68838
Castaneda,474,68636
Hines,475,68581
Escobar,476,68460
Guerra,477,68407
Todd,478,68395
Tate,479,68390
Cannon,480,68041
Hubbard,481,68031
Mullins,482,67835
Rowe,483,67831
Camacho,484,67599
Valencia,485,67405
Hodges,486,67360
Saunders,487,67352
Gallagher,488,67066
Malone,489,66928
Farmer,490,66667
Hampton,491,66633
Townsend,492,66493
Sherman,493,66346
Hammond,494,66318
Yu,495,66156
Ingram,496,66120
Maxwell,497,65829
Gallegos,498,65598
Wise,499,65596
Orozco,500,65402
Velazquez,501,65353
Schroeder,502,65286
Huynh,503,65148
Waters,504,65036
Andrade,505,64946
Barton,506,64761
Logan,507,64755
Yoder,508,64632
Parsons,509,64627
Santana,510,64579
Buchanan,511,64348
Glover,512,64341
Osborne,513,64098
Norman,514,63944
Harrington,515,63775
Frank,516,63608
Strickland,517,63585
Pineda,518,63437
Casey,519,63424
Floyd,520,63374
Ibarra,521,63358
Salas,522,63317
Gibbs,523,63006
Patton,524,62929
Bowers,525,62913
Charles,526,62686
Bauer,527,62667
Tyler,528,62380
Cobb,529,62205
Mueller,530,62147
Lloyd,531,62010
Villanueva,532,61969
Mercado,533,61773
Mcguire,534,61752
Mcbride,535,61751
Moody,536,61480
Flynn,537,61341
Villarreal,538,61336
French,539,61329
Zamora,540,61244
Pope,541,61177
Hartman,542,61086
Mccormick,543,61083
Sparks,544,61073
Conner,545,61028
